U_TIME,LSL_TIME,HUMAN_TIME,MESSAGE,VECTOR_NUM,VECTOR_NAME,PERFORMER
1699631228071089400,142030.8670103,15:47:08:071090,H,,,
1699631238081622600,142040.8775467,15:47:18:081623,H,,,
1699631248098346900,142050.8942004,15:47:28:098347,H,,,
1699631258108864800,142060.9051628,15:47:38:108865,H,,,
1699631268122606500,142070.9187058,15:47:48:122607,H,,,
1699631278135801500,142080.9315186,15:47:58:135802,H,,,
1699631288149126700,142090.9450962,15:48:08:149127,H,,,
1699631298162235500,142100.9579488,15:48:18:162235,H,,,
1699631308174850700,142110.9705292,15:48:28:174851,H,,,
1699631318187445600,142120.9831745,15:48:38:187445,H,,,
1699631328199730300,142130.9963649,15:48:48:199730,H,,,
1699631338220026000,142141.0158411,15:48:58:220026,H,,,
1699631348238664300,142151.0351662,15:49:08:238664,H,,,
1699631358251668100,142161.0478269,15:49:18:251668,H,,,
1699631368264512900,142171.0606517,15:49:28:264513,H,,,
1699631378284439700,142181.0801364,15:49:38:284440,H,,,
1699631388296442600,142191.0928655,15:49:48:296443,H,,,
1699631398322108300,142201.1184117,15:49:58:322109,H,,,
1699631408336938700,142211.1326554,15:50:08:336939,H,,,
1699631418349405600,142221.1451668,15:50:18:349406,H,,,
1699631428363894400,142231.1600771,15:50:28:363894,H,,,
1699631438377406400,142241.173138,15:50:38:377406,H,,,
1699631448394957300,142251.1906392,15:50:48:394957,H,,,
1699631458407401100,142261.2031785,15:50:58:407401,H,,,
1699631468420676600,142271.2170464,15:51:08:420677,H,,,
1699631478433401600,142281.2292325,15:51:18:433402,H,,,
1699631488446238600,142291.2423988,15:51:28:446239,H,,,
1699631498460749400,142301.2568173,15:51:38:460749,H,,,
1699631508479058300,142311.2747514,15:51:48:479058,H,,,
1699631518493308000,142321.2890457,15:51:58:493308,H,,,
1699631528511346900,142331.3071804,15:52:08:511347,H,,,
1699631538524447100,142341.3206597,15:52:18:524447,H,,,
1699631548538058400,142351.3346375,15:52:28:538059,H,,,
1699631558551437600,142361.3471199,15:52:38:551438,H,,,
1699631568564445200,142371.3601634,15:52:48:564445,H,,,
1699631578576860100,142381.3725393,15:52:58:576860,H,,,
1699631588589063400,142391.3847433,15:53:08:589063,H,,,
1699631598600818000,142401.3968343,15:53:18:600818,H,,,
1699631608613420400,142411.4091161,15:53:28:613420,H,,,
1699631618624773600,142421.4204585,15:53:38:624774,H,,,
1699631628637547700,142431.4332315,15:53:48:637548,H,,,
1699631638650310500,142441.4460911,15:53:58:650311,H,,,
1699631648661806100,142451.4575287,15:54:08:661806,H,,,
1699631658675351200,142461.4713673,15:54:18:675351,H,,,
1699631668691369600,142471.487149,15:54:28:691370,H,,,
1699631678703457200,142481.4991534,15:54:38:703457,H,,,
1699631688716582200,142491.512712,15:54:48:716582,H,,,
1699631698729155000,142501.5254658,15:54:58:729155,H,,,
1699631708743239200,142511.5391191,15:55:08:743239,H,,,
1699631718757204500,142521.5529518,15:55:18:757205,H,,,
1699631728774246300,142531.5699745,15:55:28:774246,H,,,
1699631738793606500,142541.5896314,15:55:38:793606,H,,,
1699631748805228200,142551.6017461,15:55:48:805228,H,,,
1699631758824920100,142561.6211775,15:55:58:824920,H,,,
1699631768839173000,142571.6349852,15:56:08:839173,H,,,
1699631778853203100,142581.6490418,15:56:18:853203,H,,,
1699631788865288500,142591.6610101,15:56:28:865288,H,,,
1699631798877352800,142601.6735855,15:56:38:877353,H,,,
1699631808890336400,142611.6860667,15:56:48:890337,H,,,
1699631818902031300,142621.6978777,15:56:58:902031,H,,,
1699631828921171000,142631.7174638,15:57:08:921171,H,,,
1699631838933911700,142641.7296252,15:57:18:933912,H,,,
1699631848945061900,142651.7414631,15:57:28:945062,H,,,
1699631857764183100,142660.5606195,15:57:37:764183,FAKE:1200,,,
1699631858775110800,142661.5716596,15:57:38:775111,FAKE:1200,,,
1699631858960643200,142661.7563451,15:57:38:960643,H,,,
1699631859786116100,142662.5817895,15:57:39:786116,FAKE:1200,,,
1699631860797051700,142663.5928327,15:57:40:797052,FAKE:1200,,,
1699631861809025600,142664.6048451,15:57:41:809026,FAKE:1200,,,
1699631862819358900,142665.6156768,15:57:42:819359,FAKE:1200,,,
1699631863832040000,142666.6286509,15:57:43:832040,FAKE:1200,,,
1699631864842115400,142667.6386568,15:57:44:842115,FAKE:1200,,,
1699631865853044000,142668.6487185,15:57:45:853044,FAKE:1200,,,
1699631866862125500,142669.658719,15:57:46:862126,FAKE:1200,,,
1699631867873100400,142670.6696536,15:57:47:873100,FAKE:1200,,,
1699631868889333900,142671.6856791,15:57:48:889334,FAKE:1200,,,
1699631868977110300,142671.7728382,15:57:48:977110,H,,,
1699631869899067300,142672.6956856,15:57:49:899067,FAKE:1200,,,
1699631870911011200,142673.706881,15:57:50:911011,FAKE:1200,,,
1699631871921125800,142674.7176544,15:57:51:921126,FAKE:1200,,,
1699631872932118100,142675.7286773,15:57:52:932118,FAKE:1200,,,
1699631873943789200,142676.7396586,15:57:53:943789,FAKE:1200,,,
1699631874953987500,142677.7496688,15:57:54:953988,FAKE:1200,,,
1699631875965046700,142678.7607224,15:57:55:965047,FAKE:1200,,,
1699631876975941100,142679.7716522,15:57:56:975941,FAKE:1200,,,
1699631877986206200,142680.78274,15:57:57:986206,FAKE:1200,,,
1699631878998012200,142681.7936751,15:57:58:998012,H,,,
1699631878998012200,142681.7937736,15:57:58:998012,FAKE:1200,,,
1699631880016820000,142682.8127333,15:58:00:016820,FAKE:1200,,,
1699631881027076800,142683.8236887,15:58:01:027077,FAKE:1200,,,
1699631882038042300,142684.8337189,15:58:02:038042,FAKE:1200,,,
1699631883048114000,142685.8446541,15:58:03:048114,FAKE:1200,,,
1699631884058203600,142686.8547017,15:58:04:058204,FAKE:1200,,,
1699631885069167100,142687.8656518,15:58:05:069167,FAKE:1200,,,
1699631886080549200,142688.8766628,15:58:06:080549,FAKE:1200,,,
1699631887092333700,142689.8886511,15:58:07:092334,FAKE:1200,,,
1699631888999952000,142691.7957507,15:58:08:999952,H,,,
1699631899014282800,142701.8103014,15:58:19:014283,H,,,
1699631909030104500,142711.8265276,15:58:29:030105,H,,,
1699631919053582900,142721.8500481,15:58:39:053583,H,,,
1699631928103819100,142730.8996435,15:58:48:103819,FAKE:1200,,,
1699631929068759600,142731.8649118,15:58:49:068759,H,,,
1699631929115017300,142731.9107169,15:58:49:115017,FAKE:1200,,,
1699631930125645300,142732.9217428,15:58:50:125645,FAKE:1200,,,
1699631931136865200,142733.9327356,15:58:51:136865,FAKE:1200,,,
1699631932147213400,142734.9436566,15:58:52:147213,FAKE:1200,,,
1699631933157161600,142735.9536521,15:58:53:157161,FAKE:1200,,,
1699631934167200000,142736.9637271,15:58:54:167200,FAKE:1200,,,
1699631935177945700,142737.9736562,15:58:55:177946,FAKE:1200,,,
1699631936188043300,142738.983719,15:58:56:188043,FAKE:1200,,,
1699631937198188100,142739.994721,15:58:57:198188,FAKE:1200,,,
1699631938209107900,142741.0056706,15:58:58:209108,FAKE:1200,,,
1699631939080554100,142741.876648,15:58:59:080554,H,,,
1699631939221860000,142742.0178768,15:58:59:221860,FAKE:1200,,,
1699631940233041900,142743.0287161,15:59:00:233042,FAKE:1200,,,
1699631941243996800,142744.039735,15:59:01:243997,FAKE:1200,,,
1699631942255924900,142745.0520347,15:59:02:255925,FAKE:1200,,,
1699631943270335000,142746.0666547,15:59:03:270335,FAKE:1200,,,
1699631944280076100,142747.0766549,15:59:04:280076,FAKE:1200,,,
1699631945290193200,142748.0866535,15:59:05:290193,FAKE:1200,,,
1699631946301209200,142749.0976561,15:59:06:301209,FAKE:1200,,,
1699631947312234000,142750.1086547,15:59:07:312234,FAKE:1200,,,
1699631948322920500,142751.1186585,15:59:08:322921,FAKE:1200,,,
1699631949093125600,142751.889232,15:59:09:093126,H,,,
1699631949334016000,142752.1298505,15:59:09:334016,FAKE:1200,,,
1699631950343132500,142753.1397218,15:59:10:343132,FAKE:1200,,,
1699631951354920700,142754.1507814,15:59:11:354921,FAKE:1200,,,
1699631952367082900,142755.1629751,15:59:12:367083,FAKE:1200,,,
1699631953383694200,142756.1796585,15:59:13:383694,FAKE:1200,,,
1699631954399267500,142757.1956727,15:59:14:399268,FAKE:1200,,,
1699631955412107600,142758.2086537,15:59:15:412107,FAKE:1200,,,
1699631956422110200,142759.2187178,15:59:16:422110,FAKE:1200,,,
1699631957434041700,142760.2297166,15:59:17:434042,FAKE:1200,,,
1699631958444076700,142761.2406607,15:59:18:444077,FAKE:1200,,,
1699631959108311000,142761.9044767,15:59:19:108311,H,,,
1699631959455860400,142762.2516556,15:59:19:455860,FAKE:1200,,,
1699631960466221700,142763.2627456,15:59:20:466222,FAKE:1200,,,
1699631961478995000,142764.274792,15:59:21:478995,FAKE:1200,,,
1699631962490054700,142765.286,15:59:22:490055,FAKE:1200,,,
1699631963502036500,142766.2977208,15:59:23:502037,FAKE:1200,,,
1699631964511981700,142767.3076523,15:59:24:511982,FAKE:1200,,,
1699631965522099400,142768.3186541,15:59:25:522099,FAKE:1200,,,
1699631966537154600,142769.3336776,15:59:26:537155,FAKE:1200,,,
1699631967551073600,142770.3476623,15:59:27:551074,FAKE:1200,,,
1699631968561461500,142771.3576532,15:59:28:561461,FAKE:1200,,,
1699631969121217800,142771.9169379,15:59:29:121218,H,,,
1699631969573069200,142772.368768,15:59:29:573069,FAKE:1200,,,
1699631970589088200,142773.3848992,15:59:30:589088,FAKE:1200,,,
1699631971599166900,142774.3948278,15:59:31:599167,FAKE:1200,,,
1699631972610007300,142775.4056886,15:59:32:610007,FAKE:1200,,,
1699631973623156400,142776.4196615,15:59:33:623157,FAKE:1200,,,
1699631974634341900,142777.4306532,15:59:34:634342,FAKE:1200,,,
1699631975645902200,142778.4416609,15:59:35:645902,FAKE:1200,,,
1699631976656929100,142779.4526554,15:59:36:656929,FAKE:1200,,,
1699631977672090500,142780.4686735,15:59:37:672091,FAKE:1200,,,
1699631978684029300,142781.4797293,15:59:38:684029,FAKE:1200,,,
1699631979133380800,142781.9293734,15:59:39:133381,H,,,
1699631979694956600,142782.4907166,15:59:39:694957,FAKE:1200,,,
1699631980705125000,142783.5016509,15:59:40:705125,FAKE:1200,,,
1699631981716028400,142784.5119905,15:59:41:716028,FAKE:1200,,,
1699631982736560800,142785.53267,15:59:42:736561,FAKE:1200,,,
1699631983748026700,142786.5446563,15:59:43:748027,FAKE:1200,,,
1699631984758287500,142787.554669,15:59:44:758288,FAKE:1200,,,
1699631985770432300,142788.5666604,15:59:45:770432,FAKE:1200,,,
1699631986786594600,142789.5826836,15:59:46:786595,FAKE:1200,,,
1699631987799654500,142790.5956712,15:59:47:799654,FAKE:1200,,,
1699631989146749300,142791.9424596,15:59:49:146749,H,,,
1699631999159182500,142801.9549227,15:59:59:159183,H,,,
1699632009179841900,142811.975904,16:00:09:179842,H,,,
1699632018812046900,142821.6086567,16:00:18:812047,FAKE:1200,,,
1699632019200564700,142821.9964061,16:00:19:200565,H,,,
1699632019823093300,142822.6196617,16:00:19:823093,FAKE:1200,,,
1699632020841100300,142823.6376816,16:00:20:841100,FAKE:1200,,,
1699632021853040400,142824.6491001,16:00:21:853040,FAKE:1200,,,
1699632022868961300,142825.6646603,16:00:22:868961,FAKE:1200,,,
1699632023879401600,142826.6756532,16:00:23:879401,FAKE:1200,,,
1699632024889122500,142827.6857126,16:00:24:889122,FAKE:1200,,,
1699632025902078900,142828.6977861,16:00:25:902079,FAKE:1200,,,
1699632026915124700,142829.7116519,16:00:26:915125,FAKE:1200,,,
1699632027926895700,142830.72269,16:00:27:926896,FAKE:1200,,,
1699632028940316200,142831.7366514,16:00:28:940316,FAKE:1200,,,
1699632029215820200,142832.0115323,16:00:29:215820,H,,,
1699632029951928300,142832.7476485,16:00:29:951928,FAKE:1200,,,
1699632030961751100,142833.7576602,16:00:30:961751,FAKE:1200,,,
1699632031974022100,142834.7697302,16:00:31:974022,FAKE:1200,,,
1699632032983093100,142835.779657,16:00:32:983093,FAKE:1200,,,
1699632033993556300,142836.7896776,16:00:33:993556,FAKE:1200,,,
1699632035007146600,142837.8036537,16:00:35:007147,FAKE:1200,,,
1699632036018544000,142838.8146516,16:00:36:018544,FAKE:1200,,,
1699632037028968400,142839.8246503,16:00:37:028968,FAKE:1200,,,
1699632038040003300,142840.8356519,16:00:38:040003,FAKE:1200,,,
1699632039050621800,142841.8466501,16:00:39:050622,FAKE:1200,,,
1699632039228763600,142842.0245106,16:00:39:228764,H,,,
1699632040060959700,142842.8567174,16:00:40:060960,FAKE:1200,,,
1699632041071477900,142843.8680687,16:00:41:071478,FAKE:1200,,,
1699632042085071800,142844.8807707,16:00:42:085072,FAKE:1200,,,
1699632043095145100,142845.8917374,16:00:43:095145,FAKE:1200,,,
1699632044105998200,142846.9016523,16:00:44:105998,FAKE:1200,,,
1699632045116378500,142847.9126546,16:00:45:116379,FAKE:1200,,,
1699632046126114300,142848.922649,16:00:46:126114,FAKE:1200,,,
1699632047136236800,142849.9327242,16:00:47:136237,FAKE:1200,,,
1699632048146947000,142850.9426522,16:00:48:146947,FAKE:1200,,,
1699632049156052800,142851.952653,16:00:49:156053,FAKE:1200,,,
1699632049241336900,142852.0370379,16:00:49:241337,H,,,
1699632050168047500,142852.9637242,16:00:50:168048,FAKE:1200,,,
1699632051178465600,142853.9746464,16:00:51:178466,FAKE:1200,,,
1699632052190018100,142854.9857143,16:00:52:190018,FAKE:1200,,,
1699632053200486500,142855.9966884,16:00:53:200486,FAKE:1200,,,
1699632054215077900,142857.0116518,16:00:54:215078,FAKE:1200,,,
1699632055226002500,142858.0216739,16:00:55:226002,FAKE:1200,,,
1699632056239007000,142859.0347769,16:00:56:239007,FAKE:1200,,,
1699632057252057100,142860.0486763,16:00:57:252057,FAKE:1200,,,
1699632058266996200,142861.0627901,16:00:58:266996,FAKE:1200,,,
1699632059278398400,142862.074111,16:00:59:278399,FAKE:1200,,,
1699632059257159900,142862.0528725,16:00:59:257160,H,,,
1699632060278511600,142863.0747175,16:01:00:278512,FAKE:1200,,,
1699632061289008600,142864.0847252,16:01:01:289009,FAKE:1200,,,
1699632062300104400,142865.0960748,16:01:02:300104,FAKE:1200,,,
1699632063310230800,142866.1067413,16:01:03:310231,FAKE:1200,,,
1699632064321076300,142867.1176603,16:01:04:321076,FAKE:1200,,,
1699632065332444500,142868.128651,16:01:05:332444,FAKE:1200,,,
1699632066342042900,142869.1386501,16:01:06:342043,FAKE:1200,,,
1699632067353032400,142870.1496511,16:01:07:353032,FAKE:1200,,,
1699632068363202600,142871.1596524,16:01:08:363203,FAKE:1200,,,
1699632069279214400,142872.074919,16:01:09:279214,H,,,
1699632069374060100,142872.1697571,16:01:09:374060,FAKE:1200,,,
1699632070384363300,142873.1807163,16:01:10:384363,FAKE:1200,,,
1699632071404991900,142874.2007315,16:01:11:404992,FAKE:1200,,,
1699632072422834500,142875.2186525,16:01:12:422834,FAKE:1200,,,
1699632073434009600,142876.2296837,16:01:13:434010,FAKE:1200,,,
1699632074444073000,142877.2406513,16:01:14:444073,FAKE:1200,,,
1699632075455367300,142878.2516869,16:01:15:455367,FAKE:1200,,,
1699632076467093900,142879.2636505,16:01:16:467094,FAKE:1200,,,
1699632077477971700,142880.2736515,16:01:17:477972,FAKE:1200,,,
1699632078488050000,142881.2837225,16:01:18:488050,FAKE:1200,,,
1699632079293066200,142882.0896209,16:01:19:293066,H,,,
1699632079497845600,142882.2937768,16:01:19:497845,FAKE:1200,,,
1699632080511127700,142883.3077103,16:01:20:511128,FAKE:1200,,,
1699632081522046600,142884.3177436,16:01:21:522047,FAKE:1200,,,
1699632082532979300,142885.3286682,16:01:22:532979,FAKE:1200,,,
1699632083545982100,142886.3426518,16:01:23:545982,FAKE:1200,,,
1699632084556898700,142887.3527918,16:01:24:556899,FAKE:1200,,,
1699632085574070700,142888.3697348,16:01:25:574071,FAKE:1200,,,
1699632086586008300,142889.3816532,16:01:26:586008,FAKE:1200,,,
1699632087595967000,142890.3917193,16:01:27:595967,FAKE:1200,,,
1699632088606149900,142891.4027081,16:01:28:606150,FAKE:1200,,,
1699632089309876800,142892.1055553,16:01:29:309877,H,,,
1699632089616742000,142892.4128018,16:01:29:616742,FAKE:1200,,,
1699632090629190900,142893.4257346,16:01:30:629191,FAKE:1200,,,
1699632091642041500,142894.4377124,16:01:31:642042,FAKE:1200,,,
1699632092653075900,142895.4487747,16:01:32:653076,FAKE:1200,,,
1699632093663940000,142896.4596705,16:01:33:663940,FAKE:1200,,,
1699632094676155400,142897.4726506,16:01:34:676155,FAKE:1200,,,
1699632095686897300,142898.4826529,16:01:35:686898,FAKE:1200,,,
1699632096702169700,142899.4987148,16:01:36:702170,FAKE:1200,,,
1699632097713000500,142900.508684,16:01:37:713001,FAKE:1200,,,
1699632098723031200,142901.5196497,16:01:38:723031,FAKE:1200,,,
1699632099321505300,142902.1171819,16:01:39:321505,H,,,
1699632099733981000,142902.5300179,16:01:39:733981,FAKE:1200,,,
1699632100744256900,142903.5406719,16:01:40:744257,FAKE:1200,,,
1699632101757010300,142904.5528125,16:01:41:757010,FAKE:1200,,,
1699632102767140600,142905.5636682,16:01:42:767141,FAKE:1200,,,
1699632103780064500,142906.5766471,16:01:43:780065,FAKE:1200,,,
1699632104791603300,142907.5877224,16:01:44:791603,FAKE:1200,,,
1699632105802990100,142908.5986831,16:01:45:802990,FAKE:1200,,,
1699632106817068400,142909.6136929,16:01:46:817068,FAKE:1200,,,
1699632107828963200,142910.6246761,16:01:47:828963,FAKE:1200,,,
1699632108841124800,142911.637649,16:01:48:841125,FAKE:1200,,,
1699632109334690200,142912.1303865,16:01:49:334690,H,,,
1699632115625963500,142918.4220868,16:01:55:625963,VECTOR_0 STARTED,0,Fake P300,
1699632116097580300,142918.8941458,16:01:56:097580,VECTOR 0 STOPPED,,,
1699632119346913500,142922.1429008,16:01:59:346914,H,,,
1699632124530398800,142927.3263495,16:02:04:530399,VECTOR_1 STARTED,1,Index of Time and Change que 2:10,
1699632125778624000,142928.574607,16:02:05:778624,P300:1200,1,Index of Time and Change que 2:10,
1699632126789024900,142929.5849183,16:02:06:789025,P300:1200,1,Index of Time and Change que 2:10,
1699632127799938600,142930.5959632,16:02:07:799939,P300:1200,1,Index of Time and Change que 2:10,
1699632128810350500,142931.606938,16:02:08:810351,P300:1200,1,Index of Time and Change que 2:10,
1699632129359960500,142932.1557316,16:02:09:359961,H,1,Index of Time and Change que 2:10,
1699632129822046000,142932.6178705,16:02:09:822046,P300:1200,1,Index of Time and Change que 2:10,
1699632130832882300,142933.6288279,16:02:10:832882,P300:1200,1,Index of Time and Change que 2:10,
1699632131848432400,142934.644978,16:02:11:848432,P300:1000,1,Index of Time and Change que 2:10,
1699632132859974300,142935.6559105,16:02:12:859974,P300:1200,1,Index of Time and Change que 2:10,
1699632133870883500,142936.6668393,16:02:13:870883,P300:1200,1,Index of Time and Change que 2:10,
1699632134881255600,142937.6778199,16:02:14:881256,P300:1200,1,Index of Time and Change que 2:10,
1699632135893135900,142938.6892789,16:02:15:893136,P300:1200,1,Index of Time and Change que 2:10,
1699632136903158600,142939.6989707,16:02:16:903158,P300:1000,1,Index of Time and Change que 2:10,
1699632137914140100,142940.7099204,16:02:17:914140,P300:1200,1,Index of Time and Change que 2:10,
1699632138923330700,142941.7198336,16:02:18:923331,P300:1000,1,Index of Time and Change que 2:10,
1699632139371640400,142942.1673972,16:02:19:371640,H,1,Index of Time and Change que 2:10,
1699632139937508300,142942.7338262,16:02:19:937508,P300:1200,1,Index of Time and Change que 2:10,
1699632140948183900,142943.7439504,16:02:20:948184,P300:1000,1,Index of Time and Change que 2:10,
1699632141959185500,142944.7552292,16:02:21:959185,P300:1200,1,Index of Time and Change que 2:10,
1699632142969368100,142945.7658258,16:02:22:969368,P300:1200,1,Index of Time and Change que 2:10,
1699632143981235900,142946.7776763,16:02:23:981236,P300:1200,1,Index of Time and Change que 2:10,
1699632144995255700,142947.7918289,16:02:24:995256,P300:1200,1,Index of Time and Change que 2:10,
1699632146014898300,142948.8108276,16:02:26:014898,P300:1200,1,Index of Time and Change que 2:10,
1699632147025073000,142949.8209142,16:02:27:025073,P300:1200,1,Index of Time and Change que 2:10,
1699632148035277900,142950.8318683,16:02:28:035278,P300:1200,1,Index of Time and Change que 2:10,
1699632149049985700,142951.8459428,16:02:29:049986,P300:1200,1,Index of Time and Change que 2:10,
1699632149392350900,142952.1881346,16:02:29:392351,H,1,Index of Time and Change que 2:10,
1699632150061129200,142952.8568658,16:02:30:061129,P300:1000,1,Index of Time and Change que 2:10,
1699632151071842600,142953.8679232,16:02:31:071843,P300:1200,1,Index of Time and Change que 2:10,
1699632152084050900,142954.8801983,16:02:32:084051,P300:1000,1,Index of Time and Change que 2:10,
1699632153093812000,142955.8900841,16:02:33:093812,P300:1200,1,Index of Time and Change que 2:10,
1699632154103800400,142956.9003032,16:02:34:103800,P300:1000,1,Index of Time and Change que 2:10,
1699632155113903600,142957.9099324,16:02:35:113904,P300:1200,1,Index of Time and Change que 2:10,
1699632156123825600,142958.9199805,16:02:36:123826,P300:1000,1,Index of Time and Change que 2:10,
1699632157134547800,142959.9302121,16:02:37:134548,P300:1200,1,Index of Time and Change que 2:10,
1699632158152497200,142960.9488822,16:02:38:152497,P300:1000,1,Index of Time and Change que 2:10,
1699632159173215000,142961.9692163,16:02:39:173215,P300:1200,1,Index of Time and Change que 2:10,
1699632159403896000,142962.2001163,16:02:39:403896,H,1,Index of Time and Change que 2:10,
1699632160184789800,142962.980906,16:02:40:184790,P300:1200,1,Index of Time and Change que 2:10,
1699632161195395300,142963.9919093,16:02:41:195395,P300:1200,1,Index of Time and Change que 2:10,
1699632162206767300,142965.0029073,16:02:42:206767,P300:1000,1,Index of Time and Change que 2:10,
1699632163217975300,142966.0138284,16:02:43:217975,P300:1200,1,Index of Time and Change que 2:10,
1699632164229141000,142967.0248303,16:02:44:229141,P300:1000,1,Index of Time and Change que 2:10,
1699632165239250800,142968.0353422,16:02:45:239251,P300:1200,1,Index of Time and Change que 2:10,
1699632166250637900,142969.0464144,16:02:46:250638,P300:1000,1,Index of Time and Change que 2:10,
1699632167265252400,142970.0618338,16:02:47:265252,P300:1200,1,Index of Time and Change que 2:10,
1699632168276513500,142971.0728414,16:02:48:276514,P300:1200,1,Index of Time and Change que 2:10,
1699632169289883700,142972.085899,16:02:49:289884,P300:1200,1,Index of Time and Change que 2:10,
1699632169425671200,142972.2216862,16:02:49:425671,H,1,Index of Time and Change que 2:10,
1699632170301263800,142973.0969806,16:02:50:301264,P300:1200,1,Index of Time and Change que 2:10,
1699632171312036900,142974.1079689,16:02:51:312037,P300:1000,1,Index of Time and Change que 2:10,
1699632172323140300,142975.1188298,16:02:52:323140,P300:1200,1,Index of Time and Change que 2:10,
1699632173333187400,142976.1290366,16:02:53:333187,P300:1200,1,Index of Time and Change que 2:10,
1699632174342754700,142977.1388306,16:02:54:342755,P300:1200,1,Index of Time and Change que 2:10,
1699632175352619300,142978.1488758,16:02:55:352619,P300:1200,1,Index of Time and Change que 2:10,
1699632176370394100,142979.1668299,16:02:56:370394,P300:1200,1,Index of Time and Change que 2:10,
1699632177381757800,142980.1778949,16:02:57:381758,P300:1200,1,Index of Time and Change que 2:10,
1699632178392322700,142981.1883454,16:02:58:392323,P300:1200,1,Index of Time and Change que 2:10,
1699632179402887600,142982.1989301,16:02:59:402888,P300:1000,1,Index of Time and Change que 2:10,
1699632179454053900,142982.2497693,16:02:59:454054,H,1,Index of Time and Change que 2:10,
1699632180414037000,142983.210274,16:03:00:414037,P300:1200,1,Index of Time and Change que 2:10,
1699632181424658900,142984.2208357,16:03:01:424659,P300:1200,1,Index of Time and Change que 2:10,
1699632182437125100,142985.2328283,16:03:02:437125,P300:1200,1,Index of Time and Change que 2:10,
1699632183452908800,142986.249303,16:03:03:452909,P300:1200,1,Index of Time and Change que 2:10,
1699632184463951300,142987.2598491,16:03:04:463951,P300:1200,1,Index of Time and Change que 2:10,
